date,market,tier,n,wins,losses,ppv,npv,breakeven,edge_vs_be,sensitivity,specificity,roi
2026-08-29,ATS,Buy (S+M),4,3,1,0.75,0.5833,0.5126,0.2374,0.375,0.875,0.4698
2026-08-29,ATS,Moderate buy,1,1,0,1.0,0.5333,0.4975,0.5025,0.125,1.0,1.01
2026-08-29,ATS,Pass,12,5,7,0.4167,0.25,0.514,-0.0973,0.625,0.125,-0.1916
2026-08-29,ATS,Strong buy,3,2,1,0.6667,0.5385,0.5177,0.149,0.25,0.875,0.2898
2026-08-29,All,Buy (S+M),7,6,1,0.8571,0.561,0.5111,0.346,0.25,0.9583,0.6819
2026-08-29,All,Moderate buy,3,3,0,1.0,0.5333,0.5057,0.4943,0.125,1.0,0.9778
2026-08-29,All,Pass,41,18,23,0.439,0.1429,0.5149,-0.0759,0.75,0.0417,-0.181
2026-08-29,All,Strong buy,4,3,1,0.75,0.5227,0.5151,0.2349,0.125,0.9583,0.46
2026-08-29,ML,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-08-29,ML,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-08-29,ML,Pass,16,8,8,0.5,0.0,0.5142,-0.0142,1.0,0.0,-0.1134
2026-08-29,ML,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-08-29,Totals,Buy (S+M),3,3,0,1.0,0.6154,0.509,0.491,0.375,1.0,0.9647
2026-08-29,Totals,Moderate buy,2,2,0,1.0,0.5714,0.5098,0.4902,0.25,1.0,0.9616
2026-08-29,Totals,Pass,13,5,8,0.3846,0.0,0.5165,-0.1319,0.625,0.0,-0.2543
2026-08-29,Totals,Strong buy,1,1,0,1.0,0.5333,0.5074,0.4926,0.125,1.0,0.9709
2026-09-03,ATS,Buy (S+M),3,1,2,0.3333,0.4737,0.5105,-0.1772,0.0909,0.8182,-0.3492
2026-09-03,ATS,Moderate buy,2,0,2,0.0,0.45,0.5097,-0.5097,0.0,0.8182,-1.0
2026-09-03,ATS,Pass,19,10,9,0.5263,0.6667,0.5155,0.0108,0.9091,0.1818,0.019
2026-09-03,ATS,Strong buy,1,1,0,1.0,0.5238,0.5122,0.4878,0.0909,1.0,0.9524
2026-09-03,All,Buy (S+M),3,1,2,0.3333,0.4921,0.5105,-0.1772,0.0303,0.9394,-0.3492
2026-09-03,All,Moderate buy,2,0,2,0.0,0.4844,0.5097,-0.5097,0.0,0.9394,-1.0
2026-09-03,All,Pass,63,32,31,0.5079,0.6667,0.5162,-0.0083,0.9697,0.0606,0.2531
2026-09-03,All,Strong buy,1,1,0,1.0,0.5077,0.5122,0.4878,0.0303,1.0,0.9524
2026-09-03,ML,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-03,ML,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-03,ML,Pass,22,11,11,0.5,0.0,0.5148,-0.0148,1.0,0.0,0.746
2026-09-03,ML,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-03,Totals,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-03,Totals,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-03,Totals,Pass,22,11,11,0.5,0.0,0.5182,-0.0182,1.0,0.0,-0.0376
2026-09-03,Totals,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-04,ATS,Buy (S+M),1,0,1,0.0,0.4667,0.5122,-0.5122,0.0,0.875,-1.0
2026-09-04,ATS,Moderate buy,1,0,1,0.0,0.4667,0.5122,-0.5122,0.0,0.875,-1.0
2026-09-04,ATS,Pass,15,8,7,0.5333,1.0,0.5169,0.0164,1.0,0.125,0.0151
2026-09-04,ATS,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-04,All,Buy (S+M),3,1,2,0.3333,0.4878,0.5153,-0.182,0.0455,0.9091,-0.3522
2026-09-04,All,Moderate buy,1,0,1,0.0,0.4884,0.5122,-0.5122,0.0,0.9545,-1.0
2026-09-04,All,Pass,41,21,20,0.5122,0.6667,0.5162,-0.004,0.9545,0.0909,-0.1115
2026-09-04,All,Strong buy,2,1,1,0.5,0.5,0.5169,-0.0169,0.0455,0.9545,-0.0283
2026-09-04,ML,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-04,ML,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
